instance,feasible,total_routes,num_customers,errors,missing_customers,duplicate_customers,load_variance,spatial_variance,total_distance,total_time,vehicles_used,objective
Clustered_large_200_10,True,7,200,[],[],[],2697.9591836734694,12.081632653061224,3507.4181286376743,23460.604283024884,7.0,9552.787663871188
Clustered_large_200_11,True,7,200,[],[],[],1955.1020408163265,24.16326530612245,3933.5139147197956,22469.395130924226,7.0,9224.212080625877
Clustered_large_200_12,True,9,200,[],[],[],14276.543209876543,42.419753086419746,6360.821372428594,29199.383242880074,9.0,13706.568243547274
Clustered_large_200_13,True,7,200,[],[],[],12926.530612244898,52.00000000000001,3076.2239533659526,22908.128244612453,7.0,10482.244547425234
Clustered_large_200_14,True,8,200,[],[],[],7285.9375,36.90625,6451.61555125495,27234.165067739643,8.0,12182.126661522612
Clustered_large_200_8,True,7,200,[],[],[],2555.1020408163267,22.979591836734695,4265.661595630011,23527.653948602187,7.0,9749.544893163164
Clustered_large_200_9,True,7,200,[],[],[],7326.530612244897,93.10204081632654,5453.305982105283,24758.72030158441,7.0,11055.510437815557
Clustered_tight_200_1,True,21,200,[],[],[],691.609977324263,4.3854875283446715,3290.728238428605,22168.763768010245,21.0,9085.093414691915
Clustered_tight_200_2,True,23,200,[],[],[],3387.9017013232515,12.109640831758036,4687.386257731086,24471.3327911947,23.0,10604.330016776246
Clustered_tight_200_3,True,21,200,[],[],[],3729.705215419501,14.390022675736962,4215.86678758534,23714.971718981404,21.0,10222.922626204225
Clustered_tight_200_4,True,19,200,[],[],[],1329.639889196676,10.476454293628809,4135.050249565792,22742.045401635594,19.0,9533.873356010996
Clustered_tight_200_5,True,22,200,[],[],[],1604.3388429752065,9.8801652892562,4316.419477336587,22647.515236757576,22.0,9639.046276579462
Clustered_tight_200_6,True,24,200,[],[],[],2145.659722222222,12.510416666666666,5383.601566877588,24297.684213666216,24.0,10588.569866502572
Clustered_tight_200_7,True,20,200,[],[],[],592.75,5.795,3277.122780423706,21294.49667385297,20.0,8743.948130954463
Mixed_large_200_36,True,9,200,[],[],[],8027.333333333333,23.530864197530867,6080.329239165218,16476.532712304874,9.0,8432.031228233813
Mixed_large_200_37,True,6,200,[],[],[],11491.0,39.722222222222214,6295.645983479394,10152.773999758612,6.0,6629.480173563141
Mixed_large_200_38,True,15,200,[],[],[],13316.293333333333,32.72,6742.178701809694,21607.125761999596,15.0,11148.61149215228
Mixed_large_200_39,True,13,200,[],[],[],32099.90532544379,80.4378698224852,5609.261114319311,15481.313680970994,13.0,10939.198735558728
Mixed_large_200_40,True,5,200,[],[],[],130200.64000000001,335.11999999999995,4204.584330231453,8157.798229572079,5.0,19657.261862908093
Mixed_large_200_41,True,11,200,[],[],[],32166.06611570248,64.97520661157026,6633.899141618929,15796.482469927243,11.0,11272.36960029249
Mixed_large_200_42,True,5,200,[],[],[],19881.04,108.55999999999999,4940.883815235291,8687.015684285576,5.0,6770.086043308774
Mixed_tight_200_29,True,23,200,[],[],[],3686.9073724007562,18.586011342155007,5425.55724110603,9634.897052993501,23.0,5632.519044419696
Mixed_tight_200_30,True,23,200,[],[],[],2131.0812854442343,7.088846880907372,5031.276638628827,9483.02331626136,23.0,5293.1741823524635
Mixed_tight_200_31,True,21,200,[],[],[],3320.1496598639455,11.913832199546485,4657.975268633724,8813.343689321102,21.0,5068.535174180454
Mixed_tight_200_32,True,18,200,[],[],[],16.88888888888889,6.598765432098765,4107.105633917268,7406.490775788225,18.0,3981.60274790643
Mixed_tight_200_33,True,21,200,[],[],[],2860.1496598639455,14.870748299319729,5273.580352540208,9396.956312392856,21.0,5371.737416520172
Mixed_tight_200_34,True,22,200,[],[],[],1635.0165289256197,11.516528925619836,4860.200946401113,10030.12562853743,22.0,5362.717512373502
Mixed_tight_200_35,True,20,200,[],[],[],1953.7900000000002,8.594999999999999,5275.376450601554,8830.020543752053,20.0,5044.493702963608
Random_large_200_22,True,7,200,[],[],[],8243.836734693878,31.224489795918366,7722.931978982243,14060.173256114505,7.0,7983.552001732576
Random_large_200_23,True,8,200,[],[],[],11759.859375,39.09375,5581.320374647621,15753.939568948272,8.0,8483.5195677938
Random_large_200_24,True,6,200,[],[],[],69368.91666666667,166.3888888888889,6659.532449848139,10481.515203300432,6.0,13790.994544728295
Random_large_200_25,True,7,200,[],[],[],52810.69387755102,220.77551020408166,6007.855044467953,11994.444610961256,7.0,12194.964681075877
Random_large_200_26,True,5,200,[],[],[],130373.43999999999,284.24,5939.94163292412,9188.959738548914,5.0,20468.673316723147
Random_large_200_27,True,5,200,[],[],[],129599.43999999999,297.0399999999999,5874.936809981733,8940.55213965835,5.0,20273.623451375854
Random_large_200_28,True,7,200,[],[],[],43210.40816326531,100.08163265306123,7305.215183064869,12429.169426157448,7.0,11509.768605125406
Random_tight_200_15,True,23,200,[],[],[],2935.5841209829873,13.270321361058603,6024.138703382792,11427.128949707603,23.0,6318.861528470202
Random_tight_200_16,True,22,200,[],[],[],2006.9442148760331,6.958677685950413,5449.156411989299,11456.153766118385,22.0,6053.33292113876
Random_tight_200_17,True,19,200,[],[],[],431.3573407202216,5.274238227146814,5042.515961153452,9917.343665953076,19.0,5163.884093316538
Random_tight_200_18,True,26,200,[],[],[],5212.332840236686,16.162721893491124,6013.548167212301,11040.224075455964,26.0,6514.2384267925445
Random_tight_200_19,True,21,200,[],[],[],2280.108843537415,13.891156462585034,5358.868466758051,10775.245097538032,21.0,5805.777254569321
Random_tight_200_20,True,21,200,[],[],[],1702.2040816326532,11.056689342403628,5608.0728063284305,10505.688285903856,21.0,5704.158126591767
Random_tight_200_21,True,19,200,[],[],[],561.98891966759,8.022160664819944,4468.997388910986,8864.606759754186,19.0,4667.942156355009
